90,"Félicitations, tu es officiellement meilleur que prévu."
91,Tu as presque l’air de savoir ce que tu fais. Presque.
92,Tu déchires tellement que Omega Zell aimerait une capture d'écran.
93,Tu as gagné… et probablement cassé un peu le continuum espace-temps.
94,Félicitations ! Tu es officiellement trop dangereux pour ce jeu.
95,"Bien joué ! Maintenant, essaye de ne pas mourir en te jetant dans le vide."
96,"Je suis presque pas désapointé. Et ça tombe bien, je déteste être désapointé."
97,Dans le mille !
98,"Il est écrit dans les tablettes de Skelos que seul un gnome des forets du nord uni... oups, pardon, mauvaise licence."
99,"Sangoku m'a écrit pour me dire que Harry Skywalker possède l'anneau unique, mais chut, c'est un secret."
100,"Les chaussettes de l'archiduchesse sont-elles ... ah oups, pardon, bien joué !"
101,"Et ensuite ajoutez les 300 grammes de sucre et ... pardon comme tu as mis 1000 ans pour finir cette quête fallait bien m'occuper, GG !"
102,GG. Propre et net.
103,Pierre Chabrier est déjà en train de tourner une vidéo pour expliquer comment tu lui a volé cette réussite.
104,Même Fabien Olicard est sans voix face à cet exploit.
105,Liloo Dalas Multigg
106,Jay Jay
107,"Ouah, cette quête a vite rendu Laam"
108,"Quand il voit une telle réussite, Hugo Délire !"
109,Je sens que cette quête va être une pure soirée...
110,"Ton frère m'a écrit, il est tellement fan de ton succès qu'il va vendre son 3008."
111,J'aimerais bien te féliciter mais flemme frère. G.
112,"Tu savais que Tommy a encore sa carte de piscine de Dijon ? Oui hors sujet, mais dans le genre succès chelou ça vaut ta réussite."
113,"GG le Daron, toujours à la pointe"
114,Ca reste moins acrobatique que Rocket League.
115,Hugo aimerait bien que tu t'enregistre car t'es son nouveau Youtubeur préféré.
116,"Je me suis cassé le cul à coder ce site, t'as intérêt à enchainer les quêtes jusqu'au bout."
